AdvisoryNumber,Date,Lat,Long,Wind,Pres,Movement,stormtypeName,Name,Received,Forecaster
28A,"2020-09-19 13:00:00",25.5,-58.5,125,952,"NW at 14 MPH",Hurricane,Teddy,"2020-09-19 07:51:06",Latto
29,"2020-09-19 16:00:00",26,-59,120,958,"NW at 14 MPH",Hurricane,Teddy,"2020-09-19 11:00:21",Latto
29A,"2020-09-19 19:00:00",26.3,-59.9,120,958,"NW at 14 MPH",Hurricane,Teddy,"2020-09-19 13:54:23",Latto
30,"2020-09-19 22:00:00",26.7,-60.2,120,958,"NW at 13 MPH",Hurricane,Teddy,"2020-09-19 16:45:24",Latto
30A,"2020-09-20 01:00:00",27,-60.9,120,956,"NW at 13 MPH",Hurricane,Teddy,"2020-09-19 20:00:07",Pasch
31,"2020-09-20 04:00:00",27.3,-61.2,115,956,"NW at 13 MPH",Hurricane,Teddy,"2020-09-19 22:54:01",Pasch
31A,"2020-09-20 07:00:00",27.6,-61.6,115,956,"NW at 13 MPH",Hurricane,Teddy,"2020-09-20 01:54:03",Zelinsky
32,"2020-09-20 10:00:00",28,-62,115,958,"NW at 12 MPH",Hurricane,Teddy,"2020-09-20 04:51:01",Zelinsky
32A,"2020-09-20 13:00:00",28,-62.7,105,964,"WNW at 12 MPH",Hurricane,Teddy,"2020-09-20 07:54:16",Blake
33,"2020-09-20 16:00:00",28.3,-62.8,105,964,"NW at 9 MPH",Hurricane,Teddy,"2020-09-20 10:59:53",Blake
33A,"2020-09-20 19:00:00",28.6,-63.1,105,964,"NW at 9 MPH",Hurricane,Teddy,"2020-09-20 13:54:30",Blake
34,"2020-09-20 22:00:00",29,-63.4,105,964,"NNW at 9 MPH",Hurricane,Teddy,"2020-09-20 17:09:21",Blake
34A,"2020-09-21 01:00:00",29.3,-63.4,105,964,"N at 9 MPH",Hurricane,Teddy,"2020-09-20 20:00:19",Roberts
35,"2020-09-21 04:00:00",29.4,-63.6,105,963,"NNW at 6 MPH",Hurricane,Teddy,"2020-09-20 23:00:08",Roberts
35A,"2020-09-21 07:00:00",29.7,-63.5,105,963,"N at 6 MPH",Hurricane,Teddy,"2020-09-21 01:54:04",Zelinsky
36,"2020-09-21 10:00:00",30.3,-63.2,100,963,"N at 9 MPH",Hurricane,Teddy,"2020-09-21 04:51:33",Zelinsky
36A,"2020-09-21 13:00:00",30.5,-63,100,960,"NNE at 9 MPH",Hurricane,Teddy,"2020-09-21 07:59:42",Blake
37,"2020-09-21 16:00:00",31.1,-62.7,90,960,"NNE at 14 MPH",Hurricane,Teddy,"2020-09-21 10:57:46",Blake
37A,"2020-09-21 19:00:00",32.2,-62,90,960,"NNE at 18 MPH",Hurricane,Teddy,"2020-09-21 14:12:06",Blake
38,"2020-09-21 22:00:00",33.2,-62,90,958,"N at 23 MPH",Hurricane,Teddy,"2020-09-21 17:03:33",Blake
38A,"2020-09-22 01:00:00",34.6,-61.4,90,956,"N at 26 MPH",Hurricane,Teddy,"2020-09-21 20:03:44",Roberts
39,"2020-09-22 04:00:00",35.6,-61.5,100,956,"N at 25 MPH",Hurricane,Teddy,"2020-09-21 22:57:16",Roberts
39A,"2020-09-22 07:00:00",37.5,-62.1,100,956,"NNW at 25 MPH",Hurricane,Teddy,"2020-09-22 02:00:39",Pasch
40,"2020-09-22 10:00:00",38.4,-62.4,100,960,"NNW at 28 MPH",Hurricane,Teddy,"2020-09-22 04:57:30",Pasch
40A,"2020-09-22 13:00:00",39.3,-63.5,105,950,"NNW at 28 MPH",Hurricane,Teddy,"2020-09-22 08:00:01",Blake
41,"2020-09-22 16:00:00",39.6,-63.7,105,950,"NNW at 16 MPH",Hurricane,Teddy,"2020-09-22 11:03:19",Blake
41A,"2020-09-22 19:00:00",40.3,-64.1,100,956,"NNW at 16 MPH",Hurricane,Teddy,"2020-09-22 13:51:19",Blake
42,"2020-09-22 22:00:00",41.1,-64.2,90,958,"N at 16 MPH",Hurricane,Teddy,"2020-09-22 17:06:07",Blake
42A,"2020-09-23 01:00:00",41.9,-64.2,85,955,"N at 18 MPH","Post-Tropical Cyclone",Teddy,"2020-09-22 19:36:45",Roberts
43,"2020-09-23 04:00:00",42.8,-63.9,80,957,"N at 18 MPH","Post-Tropical Cyclone",Teddy,"2020-09-22 22:48:26",Roberts
43A,"2020-09-23 07:00:00",43.4,-63.5,75,955,"NNE at 18 MPH","Post-Tropical Cyclone",Teddy,"2020-09-23 01:56:51",Pasch
44,"2020-09-23 10:00:00",44.5,-62.7,70,957,"NNE at 23 MPH","Post-Tropical Cyclone",Teddy,"2020-09-23 04:45:12",Pasch
44A,"2020-09-23 13:00:00",44.8,-62.3,65,963,"NNE at 23 MPH","Post-Tropical Cyclone",Teddy,"2020-09-23 07:48:28",Blake
45,"2020-09-23 16:00:00",46,-61.3,60,967,"NNE at 26 MPH","Post-Tropical Cyclone",Teddy,"2020-09-23 11:21:31",Blake
45A,"2020-09-23 19:00:00",47.5,-60.3,60,974,"NNE at 29 MPH","Post-Tropical Cyclone",Teddy,"2020-09-23 13:57:09",Blake
46,"2020-09-23 22:00:00",48.6,-59.6,50,975,"NNE at 31 MPH","Post-Tropical Cyclone",Teddy,"2020-09-23 16:48:26",Blake
46A,"2020-09-24 01:00:00",49.7,-59.2,50,975,"NNE at 31 MPH","Post-Tropical Cyclone",Teddy,"2020-09-23 19:48:20",Roberts
47,"2020-09-24 04:00:00",51,-57.3,50,975,"NNE at 32 MPH","Post-Tropical Cyclone",Teddy,"2020-09-23 22:54:42",Roberts
1,"2020-09-14 09:00:00",18.5,-28.3,35,1009,"N at 6 MPH","Tropical Depression",Twenty-one,"2020-09-14 05:50:52",Stewart/Beven
2,"2020-09-14 14:00:00",18.7,-28.5,45,1002,"NW at 6 MPH","Tropical Storm",Vicky,"2020-09-14 10:42:00",Roberts
3,"2020-09-14 20:00:00",19.3,-29.5,45,1002,"NW at 7 MPH","Tropical Storm",Vicky,"2020-09-14 16:39:13",Zelinsky
4,"2020-09-15 02:00:00",19.5,-29.9,50,1000,"NW at 7 MPH","Tropical Storm",Vicky,"2020-09-14 22:36:14",Pasch
5,"2020-09-15 10:00:00",20.3,-30.1,50,1004,"NW at 9 MPH","Tropical Storm",Vicky,"2020-09-15 04:36:20",Blake
6,"2020-09-15 16:00:00",20.6,-31,50,1004,"WNW at 9 MPH","Tropical Storm",Vicky,"2020-09-15 10:42:25",Roberts
7,"2020-09-15 22:00:00",21.2,-32.1,45,1004,"WNW at 12 MPH","Tropical Storm",Vicky,"2020-09-15 16:36:19",Brennan
8,"2020-09-16 04:00:00",21.6,-33.1,50,1004,"WNW at 12 MPH","Tropical Storm",Vicky,"2020-09-15 22:33:28",Blake
9,"2020-09-16 10:00:00",21.6,-33.9,50,1004,"WNW at 9 MPH","Tropical Storm",Vicky,"2020-09-16 04:27:24",Cangialosi
10,"2020-09-16 16:00:00",21.5,-34.7,40,1008,"W at 9 MPH","Tropical Storm",Vicky,"2020-09-16 10:35:56",Brennan
11,"2020-09-16 22:00:00",21.5,-35.7,40,1008,"W at 9 MPH","Tropical Storm",Vicky,"2020-09-16 16:45:27",Roberts
12,"2020-09-17 04:00:00",21.6,-35.8,40,1008,"W at 10 MPH","Tropical Storm",Vicky,"2020-09-16 22:35:54",Zelinsky
13,"2020-09-17 10:00:00",21.9,-36.7,40,1008,"WNW at 7 MPH","Tropical Storm",Vicky,"2020-09-17 04:36:06",Cangialosi
14,"2020-09-17 16:00:00",21.4,-38.2,35,1008,"W at 14 MPH","Tropical Depression",Vicky,"2020-09-17 10:41:45",Brown
15,"2020-09-17 22:00:00",21.1,-39.1,30,1008,"WSW at 12 MPH","Post-Tropical Cyclone",Vicky,"2020-09-17 16:38:53",Brown
1,"2020-09-18 00:00:00",21.9,-94.3,35,1005,"NE at 5 MPH","Tropical Depression",Twenty-two,"2020-09-17 19:03:51",Berg
2,"2020-09-18 04:00:00",22,-94.2,35,1005,"NE at 3 MPH","Tropical Depression",Twenty-two,"2020-09-17 22:48:12",Berg
3,"2020-09-18 10:00:00",22.9,-94.1,35,1005,"NNE at 6 MPH","Tropical Depression",Twenty-two,"2020-09-18 04:38:46",Zelinsky
4,"2020-09-18 16:00:00",23.8,-93.9,35,1005,"NNE at 7 MPH","Tropical Depression",Twenty-two,"2020-09-18 10:51:29",Beven
5,"2020-09-18 22:00:00",24.3,-93.1,40,1004,"NNE at 9 MPH","Tropical Storm",Beta,"2020-09-18 16:54:25",Beven
6,"2020-09-19 04:00:00",25.5,-92.3,60,996,"NNE at 12 MPH","Tropical Storm",Beta,"2020-09-18 23:12:39",Berg
6A,"2020-09-19 07:00:00",25.8,-92.2,60,996,"NNE at 12 MPH","Tropical Storm",Beta,"2020-09-19 01:36:36",Cangialosi
7,"2020-09-19 10:00:00",26,-92.5,60,996,"N at 8 MPH","Tropical Storm",Beta,"2020-09-19 04:57:26",Cangialosi
7A,"2020-09-19 13:00:00",26.5,-92.4,60,995,"N at 8 MPH","Tropical Storm",Beta,"2020-09-19 07:57:32",Beven
8,"2020-09-19 16:00:00",26.6,-92.6,60,994,"NW at 3 MPH","Tropical Storm",Beta,"2020-09-19 10:57:33",Beven
8A,"2020-09-19 19:00:00",26.6,-92.7,60,994,"W at 2 MPH","Tropical Storm",Beta,"2020-09-19 13:57:29",Beven
9,"2020-09-19 22:00:00",26.6,-92.4,60,994,Stationary,"Tropical Storm",Beta,"2020-09-19 17:03:23",Beven
9A,"2020-09-20 01:00:00",26.7,-92.2,60,997,Stationary,"Tropical Storm",Beta,"2020-09-19 19:51:44",Berg
10,"2020-09-20 04:00:00",26.8,-92.2,60,997,"NNE at 2 MPH","Tropical Storm",Beta,"2020-09-19 23:00:54",Berg
10A,"2020-09-20 07:00:00",26.9,-92.4,60,997,"N at 2 MPH","Tropical Storm",Beta,"2020-09-20 01:54:59",Cangialosi
11,"2020-09-20 10:00:00",27,-92.7,60,997,"WNW at 3 MPH","Tropical Storm",Beta,"2020-09-20 05:03:24",Cangialosi
11A,"2020-09-20 13:00:00",27.1,-92.8,60,997,"WNW at 3 MPH","Tropical Storm",Beta,"2020-09-20 08:00:19",Stewart
12,"2020-09-20 16:00:00",27.2,-93,60,996,"WNW at 3 MPH","Tropical Storm",Beta,"2020-09-20 10:59:57",Stewart
12A,"2020-09-20 19:00:00",27.6,-93.6,60,996,"WNW at 5 MPH","Tropical Storm",Beta,"2020-09-20 13:54:39",Stewart
13,"2020-09-20 22:00:00",27.7,-94,60,996,"WNW at 6 MPH","Tropical Storm",Beta,"2020-09-20 17:00:03",Stewart
13A,"2020-09-21 01:00:00",27.6,-94.1,60,996,"WNW at 6 MPH","Tropical Storm",Beta,"2020-09-20 20:03:39",Brown
14,"2020-09-21 04:00:00",27.6,-94.5,60,995,"WNW at 6 MPH","Tropical Storm",Beta,"2020-09-20 22:54:39",Brown
14A,"2020-09-21 07:00:00",27.6,-94.8,60,995,"WNW at 6 MPH","Tropical Storm",Beta,"2020-09-21 01:48:22",Cangialosi
15,"2020-09-21 10:00:00",27.7,-95.1,50,996,"W at 6 MPH","Tropical Storm",Beta,"2020-09-21 04:51:26",Cangialosi
15A,"2020-09-21 13:00:00",27.8,-95.5,50,996,"W at 6 MPH","Tropical Storm",Beta,"2020-09-21 08:03:37",Stewart
16,"2020-09-21 16:00:00",27.9,-95.7,50,996,"WNW at 7 MPH","Tropical Storm",Beta,"2020-09-21 10:57:29",Stewart
16A,"2020-09-21 19:00:00",28.1,-96,45,999,"WNW at 7 MPH","Tropical Storm",Beta,"2020-09-21 14:06:43",Stewart
17,"2020-09-21 22:00:00",28.2,-96.1,45,999,"NW at 5 MPH","Tropical Storm",Beta,"2020-09-21 16:51:31",Stewart
17A,"2020-09-22 01:00:00",28.3,-96.1,45,999,"NW at 5 MPH","Tropical Storm",Beta,"2020-09-21 20:03:49",Brown
18,"2020-09-22 04:00:00",28.4,-96.3,45,999,"NW at 3 MPH","Tropical Storm",Beta,"2020-09-21 23:00:43",Brown
18A,"2020-09-22 07:00:00",28.6,-96.5,40,1000,"NW at 3 MPH","Tropical Storm",Beta,"2020-09-22 02:00:51",Berg
19,"2020-09-22 10:00:00",28.8,-96.7,40,999,"NW at 3 MPH","Tropical Storm",Beta,"2020-09-22 05:12:32",Berg
19A,"2020-09-22 13:00:00",28.8,-96.8,40,999,"NW at 3 MPH","Tropical Storm",Beta,"2020-09-22 08:00:06",Stewart
20,"2020-09-22 16:00:00",28.9,-96.7,35,1005,"NE at 2 MPH","Tropical Depression",Beta,"2020-09-22 11:02:52",Stewart
21,"2020-09-22 22:00:00",29,-96.3,30,1008,"ENE at 5 MPH","Tropical Depression",Beta,"2020-09-22 16:53:56",Stewart
22,"2020-09-23 04:00:00",29.1,-95.4,30,1007,"NE at 8 MPH","Post-Tropical Cyclone",Beta,"2020-09-22 23:03:35",Gallina
23,"2020-09-23 10:00:00",29.5,-95,30,1007,"ENE at 9 MPH","Post-Tropical Cyclone",Beta,"2020-09-23 04:45:29",Gallina
24,"2020-09-23 16:00:00",30.2,-94.2,30,1007,"ENE at 9 MPH","Post-Tropical Cyclone",Beta,"2020-09-23 11:03:35",Wpc
25,"2020-09-23 22:00:00",30.5,-93.4,30,1006,"NE at 13 MPH","Post-Tropical Cyclone",Beta,"2020-09-23 17:12:42",Wpc
26,"2020-09-24 04:00:00",31.1,-91.8,30,1005,"NE at 12 MPH","Post-Tropical Cyclone",Beta,"2020-09-23 22:51:44",Gallina
27,"2020-09-24 10:00:00",31.9,-91,30,1004,"NE at 12 MPH","Post-Tropical Cyclone",Beta,"2020-09-24 04:48:33",Wpc
28,"2020-09-24 16:00:00",32.9,-89.9,30,1003,"ENE at 17 MPH","Post-Tropical Cyclone",Beta,"2020-09-24 11:03:22",Orrison
29,"2020-09-24 22:00:00",33.4,-88,25,1007,"NE at 16 MPH","Post-Tropical Cyclone",Beta,"2020-09-24 17:03:38",Orrison
30,"2020-09-25 04:00:00",34,-87.1,25,1008,"NE at 12 MPH","Post-Tropical Cyclone",Beta,"2020-09-24 23:17:56",Gallina
31,"2020-09-25 10:00:00",34.3,-86.3,10,1010,"NE at 10 MPH","Post-Tropical Cyclone",Beta,"2020-09-25 05:24:06",Gallina
1,"2020-09-18 16:00:00",11.9,-32.4,40,1008,"WNW at 17 MPH","Tropical Storm",Wilfred,"2020-09-18 10:38:49",Blake
2,"2020-09-18 22:00:00",12.5,-34.4,40,1008,"WNW at 18 MPH","Tropical Storm",Wilfred,"2020-09-18 16:57:15",Blake
3,"2020-09-19 04:00:00",12.8,-36,40,1008,"WNW at 18 MPH","Tropical Storm",Wilfred,"2020-09-18 22:51:07",Roberts
4,"2020-09-19 10:00:00",13.1,-36.9,40,1007,"WNW at 17 MPH","Tropical Storm",Wilfred,"2020-09-19 04:45:15",Zelinsky
5,"2020-09-19 16:00:00",13.4,-38.1,40,1007,"WNW at 14 MPH","Tropical Storm",Wilfred,"2020-09-19 10:50:58",Brennan
6,"2020-09-19 22:00:00",14,-39.2,40,1007,"WNW at 14 MPH","Tropical Storm",Wilfred,"2020-09-19 16:45:34",Brennan
7,"2020-09-20 04:00:00",14.5,-40.5,40,1007,"WNW at 16 MPH","Tropical Storm",Wilfred,"2020-09-19 22:39:40",Brown
8,"2020-09-20 10:00:00",15,-42,40,1007,"WNW at 16 MPH","Tropical Storm",Wilfred,"2020-09-20 04:39:20",Zelinsky
9,"2020-09-20 16:00:00",15.7,-44.2,35,1008,"WNW at 20 MPH","Tropical Depression",Wilfred,"2020-09-20 10:51:25",Landsea
10,"2020-09-20 22:00:00",15.9,-45.8,35,1008,"WNW at 20 MPH","Tropical Depression",Wilfred,"2020-09-20 16:42:16",Landsea
11,"2020-09-21 04:00:00",15.9,-47.4,35,1008,"W at 17 MPH",Remnants,Wilfred,"2020-09-20 22:36:57",Brown
1,"2020-09-18 17:30:00",39.9,-9.3,50,999,"NE at 17 MPH","Subtropical Storm",Alpha,"2020-09-18 12:35:44",Blake
2,"2020-09-18 22:00:00",40.4,-8.4,45,998,"NE at 17 MPH","Subtropical Storm",Alpha,"2020-09-18 16:53:45",Blake
3,"2020-09-19 04:00:00",40.9,-6.9,30,1005,"NE at 16 MPH","Post-Tropical Cyclone",Alpha,"2020-09-18 22:38:50",Roberts
1,"2020-10-02 16:00:00",18.1,-84.7,35,1005,"NW at 9 MPH","Tropical Depression",Twenty-five,"2020-10-02 11:12:39",Pasch
1A,"2020-10-02 19:00:00",18.3,-84.9,35,1005,"NW at 8 MPH","Tropical Depression",Twenty-five,"2020-10-02 13:54:16",Pasch
2,"2020-10-02 22:00:00",18.8,-85.3,35,1005,"NW at 9 MPH","Tropical Depression",Twenty-five,"2020-10-02 16:36:17",Pasch
2A,"2020-10-03 01:00:00",18.8,-85.8,40,1000,"NW at 9 MPH","Tropical Storm",Gamma,"2020-10-02 20:06:04",Cangialosi
3,"2020-10-03 04:00:00",19.1,-86.1,40,998,"NW at 9 MPH","Tropical Storm",Gamma,"2020-10-02 22:45:46",Cangialosi
3A,"2020-10-03 07:00:00",19.2,-86.6,45,996,"NW at 9 MPH","Tropical Storm",Gamma,"2020-10-03 02:09:30",Beven
4,"2020-10-03 10:00:00",19.4,-86.9,50,992,"NW at 9 MPH","Tropical Storm",Gamma,"2020-10-03 05:06:01",Beven
4A,"2020-10-03 13:00:00",19.7,-87.2,65,987,"NW at 9 MPH","Tropical Storm",Gamma,"2020-10-03 08:00:03",Pasch
5,"2020-10-03 16:00:00",20,-87.3,70,983,"NW at 9 MPH","Tropical Storm",Gamma,"2020-10-03 10:57:10",Pasch/Berg
5A,"2020-10-03 19:00:00",20.4,-87.6,70,980,"NW at 9 MPH","Tropical Storm",Gamma,"2020-10-03 13:39:23",Pasch
7,"2020-10-04 04:00:00",21.3,-88,60,990,"NW at 7 MPH","Tropical Storm",Gamma,"2020-10-04 00:33:29",Cangialosi
7A,"2020-10-04 07:00:00",21.8,-88.2,50,995,"NW at 8 MPH","Tropical Storm",Gamma,"2020-10-04 02:03:45",Stewart
8,"2020-10-04 10:00:00",22,-88.2,50,995,"N at 5 MPH","Tropical Storm",Gamma,"2020-10-04 05:03:25",Stewart
8A,"2020-10-04 13:00:00",22.1,-88.2,50,995,"N at 4 MPH","Tropical Storm",Gamma,"2020-10-04 08:03:13",Brown
9,"2020-10-04 16:00:00",22.2,-88.2,60,996,"N at 2 MPH","Tropical Storm",Gamma,"2020-10-04 10:48:26",Brown
9A,"2020-10-04 19:00:00",22.4,-88,60,997,"N at 2 MPH","Tropical Storm",Gamma,"2020-10-04 13:57:05",Brown
10,"2020-10-04 22:00:00",22.4,-87.8,60,997,Stationary,"Tropical Storm",Gamma,"2020-10-04 17:00:12",Roberts
10A,"2020-10-05 01:00:00",22.9,-87.4,60,998,"ENE at 3 MPH","Tropical Storm",Gamma,"2020-10-04 20:00:38",Zelinsky
11,"2020-10-05 04:00:00",22.8,-87.2,60,998,"E at 2 MPH","Tropical Storm",Gamma,"2020-10-04 22:57:44",Zelinsky
11A,"2020-10-05 07:00:00",22.8,-87.4,50,999,"W at 2 MPH","Tropical Storm",Gamma,"2020-10-05 02:03:01",Stewart
12,"2020-10-05 10:00:00",22.7,-87.5,50,999,"WSW at 2 MPH","Tropical Storm",Gamma,"2020-10-05 04:59:48",Stewart
12A,"2020-10-05 13:00:00",22.6,-87.5,45,1001,"SSW at 2 MPH","Tropical Storm",Gamma,"2020-10-05 08:05:37",Roberts
13,"2020-10-05 16:00:00",22.3,-87.6,45,1003,"SSW at 2 MPH","Tropical Storm",Gamma,"2020-10-05 11:06:17",Roberts
13A,"2020-10-05 19:00:00",22.3,-87.9,40,1003,"SW at 4 MPH","Tropical Storm",Gamma,"2020-10-05 13:47:56",Roberts
14,"2020-10-05 22:00:00",22.1,-88.1,35,1005,"SW at 5 MPH","Tropical Depression",Gamma,"2020-10-05 16:48:35",Roberts
15,"2020-10-06 04:00:00",21.6,-88.4,35,1005,"SW at 6 MPH","Post-Tropical Cyclone",Gamma,"2020-10-05 22:42:24",Zelinsky
1,"2020-10-04 22:00:00",16.7,-76.6,35,1007,"WNW at 10 MPH","Potential Tropical Cyclone",Twenty-six,"2020-10-04 18:34:23",Brown
2,"2020-10-05 04:00:00",17,-77.3,35,1006,"WNW at 9 MPH","Tropical Depression",Twenty-six,"2020-10-04 22:47:50",Cangialosi
2A,"2020-10-05 07:00:00",16.9,-77.8,35,1006,"WNW at 9 MPH","Tropical Depression",Twenty-six,"2020-10-05 02:05:51",Stewart
3,"2020-10-05 10:00:00",17,-78.2,35,1006,"WNW at 9 MPH","Tropical Depression",Twenty-six,"2020-10-05 05:05:29",Stewart
3A,"2020-10-05 13:00:00",16.4,-78.4,40,1004,"WNW at 9 MPH","Tropical Storm",Delta,"2020-10-05 07:50:42",Brown
4,"2020-10-05 16:00:00",16.4,-78.6,45,1002,"W at 7 MPH","Tropical Storm",Delta,"2020-10-05 11:02:41",Brown
4A,"2020-10-05 19:00:00",16.1,-79.2,60,998,"W at 7 MPH","Tropical Storm",Delta,"2020-10-05 14:02:43",Brown
5,"2020-10-05 22:00:00",16.2,-79.4,70,983,"W at 8 MPH","Tropical Storm",Delta,"2020-10-05 17:05:41",Brown
5A,"2020-10-06 01:00:00",16.5,-79.6,75,980,"WNW at 8 MPH",Hurricane,Delta,"2020-10-05 19:47:50",Cangialosi
6,"2020-10-06 04:00:00",16.8,-80.3,80,977,"WNW at 7 MPH",Hurricane,Delta,"2020-10-05 23:11:47",Cangialosi
6A,"2020-10-06 07:00:00",17.1,-80.6,85,974,"WNW at 7 MPH",Hurricane,Delta,"2020-10-06 01:56:55",Blake
7,"2020-10-06 10:00:00",17.5,-81.3,100,968,"WNW at 15 MPH",Hurricane,Delta,"2020-10-06 04:59:39",Blake
7A,"2020-10-06 13:00:00",17.8,-82,110,962,"WNW at 15 MPH",Hurricane,Delta,"2020-10-06 08:14:32",Brown
8,"2020-10-06 16:00:00",18.2,-82.6,115,955,"WNW at 16 MPH",Hurricane,Delta,"2020-10-06 11:02:50",Brown
8A,"2020-10-06 19:00:00",18.5,-83.5,140,956,"WNW at 16 MPH",Hurricane,Delta,"2020-10-06 13:59:47",Brown
9,"2020-10-06 22:00:00",18.9,-84.1,145,956,"WNW at 17 MPH",Hurricane,Delta,"2020-10-06 16:38:40",Brown
9A...CORRE,"2020-10-07 01:00:00",19.2,-84.5,145,956,"WNW at 17 MPH",Hurricane,Delta,"2020-10-06 20:08:44",Brown
10,"2020-10-07 04:00:00",19.5,-85.1,130,960,"WNW at 16 MPH",Hurricane,Delta,"2020-10-06 22:50:50",Pasch
10A,"2020-10-07 07:00:00",20,-85.7,120,972,"WNW at 16 MPH",Hurricane,Delta,"2020-10-07 01:54:25",Blake
11,"2020-10-07 10:00:00",20.6,-86.4,115,972,"NW at 17 MPH",Hurricane,Delta,"2020-10-07 05:14:30",Blake
11A,"2020-10-07 13:00:00",21.1,-87.4,105,974,"NW at 17 MPH",Hurricane,Delta,"2020-10-07 07:56:45",Brown
12,"2020-10-07 16:00:00",21.4,-88,105,975,"NW at 17 MPH",Hurricane,Delta,"2020-10-07 10:50:38",Brown
12A,"2020-10-07 19:00:00",21.8,-88.8,100,975,"NW at 17 MPH",Hurricane,Delta,"2020-10-07 14:02:48",Brown
13,"2020-10-07 22:00:00",22.1,-89.5,85,977,"NW at 17 MPH",Hurricane,Delta,"2020-10-07 17:06:28",Brown
13A,"2020-10-08 01:00:00",22.3,-90.2,90,973,"NW at 17 MPH",Hurricane,Delta,"2020-10-07 20:11:48",Pasch
14,"2020-10-08 04:00:00",22.5,-90.9,90,972,"WNW at 17 MPH",Hurricane,Delta,"2020-10-07 22:50:47",Pasch/Berg
14A,"2020-10-08 07:00:00",23,-91.3,100,973,"WNW at 17 MPH",Hurricane,Delta,"2020-10-08 01:54:34",Cangialosi
15,"2020-10-08 10:00:00",23.4,-91.8,100,973,"NW at 15 MPH",Hurricane,Delta,"2020-10-08 04:35:29",Cangialosi
15A,"2020-10-08 13:00:00",23.7,-92.3,100,970,"NW at 15 MPH",Hurricane,Delta,"2020-10-08 08:08:35",Beven
16,"2020-10-08 16:00:00",24,-92.7,105,968,"NW at 14 MPH",Hurricane,Delta,"2020-10-08 11:08:36",Beven
16A,"2020-10-08 19:00:00",24.4,-93.1,105,966,"NW at 13 MPH",Hurricane,Delta,"2020-10-08 13:53:50",Beven
17,"2020-10-08 22:00:00",24.8,-93.4,115,959,"NW at 12 MPH",Hurricane,Delta,"2020-10-08 17:11:49",Beven
17A,"2020-10-09 01:00:00",25.3,-93.5,115,956,"NNW at 12 MPH",Hurricane,Delta,"2020-10-08 20:02:43",Pasch
18,"2020-10-09 04:00:00",25.7,-93.6,120,955,"NNW at 12 MPH",Hurricane,Delta,"2020-10-08 22:38:49",Pasch
18A,"2020-10-09 07:00:00",26.2,-93.6,120,953,"NNW at 12 MPH",Hurricane,Delta,"2020-10-09 02:02:52",Cangialosi
19,"2020-10-09 10:00:00",26.9,-93.7,120,953,"N at 12 MPH",Hurricane,Delta,"2020-10-09 04:44:39",Cangialosi
19A,"2020-10-09 13:00:00",27.5,-93.8,120,958,"N at 12 MPH",Hurricane,Delta,"2020-10-09 08:08:32",Beven
20,"2020-10-09 16:00:00",28,-93.8,115,962,"N at 13 MPH",Hurricane,Delta,"2020-10-09 10:54:07",Beven
20A,"2020-10-09 19:00:00",28.7,-93.6,110,963,"NNE at 14 MPH",Hurricane,Delta,"2020-10-09 14:05:45",Beven
21,"2020-10-09 22:00:00",29.3,-93.2,105,966,"NNE at 14 MPH",Hurricane,Delta,"2020-10-09 17:05:44",Beven
21A,"2020-10-10 01:00:00",30,-93,90,971,"NNE at 14 MPH",Hurricane,Delta,"2020-10-09 20:00:24",Pasch
22,"2020-10-10 04:00:00",30.6,-92.6,75,972,"NNE at 15 MPH",Hurricane,Delta,"2020-10-09 22:53:47",Pasch
22A,"2020-10-10 07:00:00",31.2,-92.3,60,985,"NNE at 15 MPH","Tropical Storm",Delta,"2020-10-10 02:06:06",Cangialosi/Zelinsky
23,"2020-10-10 10:00:00",31.8,-91.8,45,990,"NNE at 16 MPH","Tropical Storm",Delta,"2020-10-10 04:45:12",Cangialosi/Zelinsky
23A,"2020-10-10 13:00:00",32.6,-91.3,40,992,"NNE at 16 MPH","Tropical Storm",Delta,"2020-10-10 08:05:36",Beven
24,"2020-10-10 16:00:00",33.1,-90.8,35,994,"NE at 16 MPH","Tropical Depression",Delta,"2020-10-10 10:47:43",Beven
25,"2020-10-10 22:00:00",33.7,-90,30,998,"NE at 12 MPH","Post-Tropical Cyclone",Delta,"2020-10-10 16:42:16",Roth
26,"2020-10-11 04:00:00",34,-89.5,30,1002,"ENE at 14 MPH","Post-Tropical Cyclone",Delta,"2020-10-10 22:56:47",Hurley
27,"2020-10-11 10:00:00",34.6,-87.7,30,1004,"ENE at 15 MPH","Post-Tropical Cyclone",Delta,"2020-10-11 04:50:53",Hurley
28,"2020-10-11 16:00:00",35.2,-86.5,25,1005,"NE at 16 MPH","Post-Tropical Cyclone",Delta,"2020-10-11 10:38:34",Roth
29,"2020-10-11 22:00:00",35.4,-85.5,25,1007,"ENE at 14 MPH","Post-Tropical Cyclone",Delta,"2020-10-11 16:47:45",Roth
30,"2020-10-12 04:00:00",34.5,-84.1,15,1008,"E at 15 MPH","Post-Tropical Cyclone",Delta,"2020-10-11 22:56:45",Hurley
